country,speed_value,speed_unit,unit_norm,speed_mbps,iso3
Afghanistan,9.1,Mbps,1.0,9.1,AFG
Angola,13.7,Mbps,1.0,13.7,AGO
Albania,93.6,Mbps,1.0,93.6,ALB
United Arab Emirates,121.9,Mbps,1.0,121.9,ARE
Argentina,83.0,Mbps,1.0,83.0,ARG
Armenia,78.7,Mbps,1.0,78.7,ARM
Antarctica,64.1,Mbps,1.0,64.1,ATA
French Southern Territories,0.0,bps,1e-06,0.0,ATF
Australia,89.1,Mbps,1.0,89.1,AUS
Austria,81.3,Mbps,1.0,81.3,AUT
Azerbaijan,60.2,Mbps,1.0,60.2,AZE
Burundi,24.0,Mbps,1.0,24.0,BDI
Belgium,105.0,Mbps,1.0,105.0,BEL
Benin,12.5,Mbps,1.0,12.5,BEN
Burkina Faso,40.2,Mbps,1.0,40.2,BFA
Bangladesh,36.7,Mbps,1.0,36.7,BGD
Bulgaria,84.3,Mbps,1.0,84.3,BGR
Bahamas,73.6,Mbps,1.0,73.6,BHS
Bosnia and Herzegovina,33.9,Mbps,1.0,33.9,BIH
Belarus,48.1,Mbps,1.0,48.1,BLR
Belize,42.2,Mbps,1.0,42.2,BLZ
Bolivia,42.5,Mbps,1.0,42.5,BOL
Brazil,133.6,Mbps,1.0,133.6,BRA
Brunei,64.9,Mbps,1.0,64.9,BRN
Bhutan,18.1,Mbps,1.0,18.1,BTN
Botswana,13.4,Mbps,1.0,13.4,BWA
Central African Republic,13.6,Mbps,1.0,13.6,CAF
Canada,146.8,Mbps,1.0,146.8,CAN
Switzerland,138.1,Mbps,1.0,138.1,CHE
Chile,161.6,Mbps,1.0,161.6,CHL
China,106.9,Mbps,1.0,106.9,CHN
C_te d’Ivoire,40.0,Mbps,1.0,40.0,CIV
Cameroon,9.7,Mbps,1.0,9.7,CMR
Democratic Republic of the Congo,28.0,Mbps,1.0,28.0,COD
Republic of the Congo,12.8,Mbps,1.0,12.8,COG
Colombia,108.3,Mbps,1.0,108.3,COL
Costa Rica,104.8,Mbps,1.0,104.8,CRI
Cuba,0.0,bps,1e-06,0.0,CUB
Cyprus,38.8,Mbps,1.0,38.8,CYP
Czech Republic,67.4,Mbps,1.0,67.4,CZE
Germany,81.5,Mbps,1.0,81.5,DEU
Djibouti,15.8,Mbps,1.0,15.8,DJI
Denmark,152.8,Mbps,1.0,152.8,DNK
Dominican Republic,54.9,Mbps,1.0,54.9,DOM
Algeria,30.1,Mbps,1.0,30.1,DZA
Ecuador,93.3,Mbps,1.0,93.3,ECU
Egypt,19.0,Mbps,1.0,19.0,EGY
Eritrea,7.3,Mbps,1.0,7.3,ERI
Spain,159.7,Mbps,1.0,159.7,ESP
Estonia,70.1,Mbps,1.0,70.1,EST
Ethiopia,9.6,Mbps,1.0,9.6,ETH
Finland,100.6,Mbps,1.0,100.6,FIN
Fiji,28.2,Mbps,1.0,28.2,FJI
Falkland Islands,6.6,Mbps,1.0,6.6,FLK
Faroe Islands,52.5,Mbps,1.0,52.5,FRO
France,150.1,Mbps,1.0,150.1,FRA
French Guiana,78.3,Mbps,1.0,78.3,GUF
Gabon,27.1,Mbps,1.0,27.1,GAB
United Kingdom,102.1,Mbps,1.0,102.1,GBR
Georgia,40.6,Mbps,1.0,40.6,GEO
Ghana,28.0,Mbps,1.0,28.0,GHA
Guinea,6.9,Mbps,1.0,6.9,GIN
Gambia,9.0,Mbps,1.0,9.0,GMB
Guinea-Bissau,9.4,Mbps,1.0,9.4,GNB
Equatorial Guinea,3.8,Mbps,1.0,3.8,GNQ
Greece,58.9,Mbps,1.0,58.9,GRC
Greenland,25.0,Mbps,1.0,25.0,GRL
Guatemala,60.3,Mbps,1.0,60.3,GTM
Guyana,66.9,Mbps,1.0,66.9,GUY
Honduras,59.6,Mbps,1.0,59.6,HND
Croatia,68.9,Mbps,1.0,68.9,HRV
Haiti,25.9,Mbps,1.0,25.9,HTI
Hungary,120.6,Mbps,1.0,120.6,HUN
Indonesia,34.3,Mbps,1.0,34.3,IDN
India,53.2,Mbps,1.0,53.2,IND
Ireland,99.1,Mbps,1.0,99.1,IRL
Iran,0.0,bps,1e-06,0.0,IRN
Iraq,30.8,Mbps,1.0,30.8,IRQ
Iceland,149.6,Mbps,1.0,149.6,ISL
Israel,121.4,Mbps,1.0,121.4,ISR
Italy,76.1,Mbps,1.0,76.1,ITA
Jamaica,54.7,Mbps,1.0,54.7,JAM
Jordan,90.0,Mbps,1.0,90.0,JOR
Japan,152.6,Mbps,1.0,152.6,JPN
Kazakhstan,49.9,Mbps,1.0,49.9,KAZ
Kenya,14.8,Mbps,1.0,14.8,KEN
Kyrgyzstan,47.3,Mbps,1.0,47.3,KGZ
Cambodia,29.3,Mbps,1.0,29.3,KHM
South Korea,169.2,Mbps,1.0,169.2,KOR
Kuwait,112.7,Mbps,1.0,112.7,KWT
Laos,30.8,Mbps,1.0,30.8,LAO
Lebanon,21.3,Mbps,1.0,21.3,LBN
Liberia,25.9,Mbps,1.0,25.9,LBR
Libya,13.2,Mbps,1.0,13.2,LBY
